date,vix,g_trends,bullish_surv,neutral_surv,bearish_surv,bull_bear_spread_surv,volume,adjusted,sma_20,sma_50,ema_20,basic_volatility,atr,rsi,macd,macd_signal,bb_up,bb_dn,obv,stochrsi,adx,sentiment_negative,sentiment_neutral,sentiment_none,sentiment_positive
2023-02-21,22.8700008392334,52.0,0.341176,0.370588,0.288235,0.0529409999999999,180018600.0,197.3699951171875,200.7145004272461,183.32220001220705,187.2469802018072,12.490005493164062,11.79102571324372,58.96667551953866,8.507341504490974,8.74236097022638,227.60717277666436,147.287825392281,18602144000.0,0.0,37.177564360488205,0.0,0.0,1.0,0.0
2023-02-22,22.290000915527344,52.0,0.341176,0.370588,0.288235,0.0529409999999999,191828500.0,200.8600006103516,199.9740005493164,184.57,188.54345833595428,10.210006713867188,11.678095784716826,60.46333601957691,7.982132179102641,8.590315212001634,225.46518259033436,155.12681570068128,18793972500.0,0.0810881683864713,36.05435523140012,0.0,1.0,0.0,0.0
2023-02-23,21.13999938964844,52.0,0.216471,0.397647,0.385882,-0.169411,146360000.0,202.07000732421875,198.55550079345704,185.9,189.83170109674137,8.80999755859375,11.473231625708037,60.9945364144439,7.526365750635189,8.377525319728345,221.64965411703932,164.70634563882004,18940332500.0,0.1098682872342888,35.23275373334074,0.0,1.0,0.0,0.0
2023-02-24,21.670000076293945,52.0,0.216471,0.397647,0.385882,-0.169411,142228100.0,196.8800048828125,196.8615005493164,187.5058001708984,190.50296812398625,4.8699951171875,11.315858243333244,57.43031997536121,6.872517661067734,8.076523787996223,219.1618828375907,170.85511697930386,18798104400.0,0.0,34.06544821181849,0.0,1.0,0.0,0.0
2023-02-27,20.950000762939453,52.0,0.216471,0.397647,0.385882,-0.169411,161028300.0,207.6300048828125,195.74100036621093,188.7328002929688,192.1341144819697,8.160003662109375,11.40329646067607,62.33925842763393,6.714142545029911,7.804047539402961,219.90156905208516,173.0884318634422,18959132700.0,0.2455260429840585,33.79325347406636,0.0,0.0,1.0,0.0
2023-02-28,20.700000762939453,52.0,0.216471,0.397647,0.385882,-0.169411,153144900.0,205.7100067138672,195.1720001220703,189.70940032958984,193.42705659929328,7.4799957275390625,11.123060694023426,60.98656796234306,6.431498059333873,7.529537643389144,217.7238147621265,179.17118645857664,18805987800.0,0.1778697175780294,33.65366345400604,0.0,0.0,0.0,1.0
2023-03-01,20.57999992370605,45.0,0.216471,0.397647,0.385882,-0.169411,156852800.0,202.7700042724609,193.7319999694824,190.54200042724608,194.31686113959495,8.67999267578125,10.948555835577556,58.8797158007878,6.016936626149905,7.227017439941297,215.39418700414737,184.45581452173155,18649135000.0,0.072493152072389,32.902349406043484,0.0,1.0,0.0,0.0
2023-03-02,19.59000015258789,45.0,0.233766,0.318182,0.448052,-0.214286,181500700.0,190.8999938964844,192.22649993896485,191.35460052490237,193.9914452116797,7.7400054931640625,11.363659687723803,51.19057264181649,5.149190815941451,6.811452115141328,214.04223644002676,186.7567641092897,18467634300.0,0.0,30.92635407001466,0.0,1.0,0.0,0.0
2023-03-03,18.489999771118164,45.0,0.233766,0.318182,0.448052,-0.214286,154193300.0,197.7899932861328,191.13100051879883,191.83940032958984,194.3532116949609,7.599990844726562,11.23625555510458,54.874311623988696,4.688188347444933,6.386799361602049,213.41164422278672,188.33935522789687,18621827600.0,0.1671993733901854,29.617190436523877,0.0,0.0,1.0,0.0
2023-03-06,18.61000061035156,45.0,0.233766,0.318182,0.448052,-0.214286,128100100.0,193.80999755859372,189.87800064086915,192.0172003173828,194.3014770153069,6.3000030517578125,10.883666090579812,52.4135106342807,4.113726020046848,5.932184693291009,213.03571288142228,189.0982867523668,18493727500.0,0.0555073166216825,28.34398022983021,0.0,0.0,1.0,0.0
2023-03-07,19.59000015258789,45.0,0.233766,0.318182,0.448052,-0.214286,148125800.0,187.7100067138672,189.8885009765625,192.29480010986327,193.6737179389793,8.09999084472656,10.684832144447435,48.80132329004516,3.370029800705332,5.419753714773874,213.7712710424032,187.657729812089,18345601700.0,0.0,26.55392409663293,0.0,0.0,1.0,0.0
2023-03-08,19.11000061035156,45.0,0.233766,0.318182,0.448052,-0.214286,151897800.0,182.0,189.40300064086915,192.5483999633789,192.5619352781241,6.5,10.472344613691703,45.63116673784428,2.514159341193012,4.8386348400577015,215.31295016583152,184.63505093280128,18193703900.0,0.0,24.973268685310604,0.0,0.0,1.0,0.0
2023-03-09,22.61000061035156,45.0,0.248276,0.334483,0.417241,-0.1689649999999999,170023800.0,172.9199981689453,188.91050033569337,192.62019989013672,190.6912746010595,12.669998168945312,10.629319867638392,41.06307724282783,1.4338415524564718,4.157676182537456,217.8757557268489,179.2352458600652,18023680100.0,0.0,24.118700230218412,0.0,0.0,1.0,0.0
2023-03-10,24.799999237060547,45.0,0.248276,0.334483,0.417241,-0.1689649999999999,191488900.0,173.44000244140625,188.5870002746582,192.59559967041017,189.04829630014007,9.84999084472656,10.573653508858976,41.42473100000388,0.5836076750214136,3.4428624810342474,218.60059068509435,175.1224104135385,18215169000.0,0.0169980577827715,23.63546111146124,0.0,0.0,1.0,0.0
2023-03-13,26.520000457763672,45.0,0.248276,0.334483,0.417241,-0.1689649999999999,167790300.0,174.47999572753906,187.79599990844727,192.48219970703124,187.66083910274955,13.44000244140625,10.77839271832664,42.18878825581982,-0.0517880887546451,2.7439323670764693,219.56855052292636,171.91345020949552,18382959300.0,0.052909448514938,23.520135282338664,0.0,1.0,0.0,0.0
2023-03-14,23.729999542236328,45.0,0.248276,0.334483,0.417241,-0.1689649999999999,143717900.0,183.25999450683597,186.96999969482425,192.19879974365236,187.24171104599588,6.660003662109375,10.67422233303322,48.31793568670946,-0.1756753835806757,2.1600108169450403,219.6131490758681,170.7308511682725,18526677200.0,0.3409849907211038,22.71842792980812,0.0,0.0,0.0,1.0
2023-03-15,26.13999938964844,45.0,0.248276,0.334483,0.417241,-0.1689649999999999,145995600.0,180.4499969482422,186.5254997253418,191.52239990234372,186.59488113192413,6.30999755859375,10.428206146926494,46.61457774178404,-0.3920155102908884,1.6496055514978547,218.07917269654385,169.38482724242098,18380681600.0,0.2609256074074367,22.06516786568676,0.0,1.0,0.0,0.0
2023-03-16,22.989999771118164,45.0,0.192171,0.323843,0.483986,-0.291815,121136800.0,184.1300048828125,186.74449996948243,190.79820007324216,186.36013101296112,6.970001220703125,10.181191509339111,49.14314519247927,-0.39888856827337,1.2399067275436098,214.9870513877067,169.46594849022298,18501818400.0,0.3797705932031465,21.079618921782792,1.0,0.0,0.0,0.0
2023-03-17,25.51000022888184,45.0,0.192171,0.323843,0.483986,-0.291815,133197100.0,180.1300048828125,187.22800064086917,189.90279998779295,185.76678566723268,8.889999389648438,10.088963500789776,46.561622843314574,-0.5727288625811178,0.8773796095186643,214.0055788652124,168.2564221723853,18368621300.0,0.2759830432275038,20.30483078132948,0.0,0.0,1.0,0.0
2023-03-20,24.149999618530277,45.0,0.192171,0.323843,0.483986,-0.291815,129684400.0,183.25,187.2760009765625,189.1783999633789,185.5270917941629,10.089996337890623,10.08903727486841,48.81997687499661,-0.5677460487584329,0.5883544778632449,211.56589463098837,168.19010665074995,18498305700.0,0.4353739122525567,19.67997171478448,0.0,1.0,0.0,0.0
2023-03-21,21.3799991607666,45.0,0.192171,0.323843,0.483986,-0.291815,153391400.0,197.5800018310547,187.51950073242188,188.36059997558596,186.6749879881526,9.960006713867188,10.421963183806382,57.66864571879118,0.0604878164829791,0.4827811455871917,211.59109236373416,168.18590958939086,18651697100.0,1.0,18.70634271115273,0.0,0.0,1.0,0.0
2023-03-22,22.26000022888184,45.0,0.192171,0.323843,0.483986,-0.291815,150376400.0,191.1499938964844,187.6955009460449,187.37940002441405,187.10117902704133,9.710006713867188,10.371109150239295,53.22213160397201,0.2733797361785361,0.4409008637054606,210.52888861390497,168.27711266783334,18501320700.0,0.7322275282983822,18.05483034059242,0.0,1.0,0.0,0.0
2023-03-23,22.61000061035156,45.0,0.209497,0.301676,0.488827,-0.27933,144193900.0,192.22000122070312,188.30250091552733,186.38079986572265,187.58868590262816,10.660003662109377,10.39174447251573,53.85969055939147,0.4818384104420037,0.4490883730527693,209.2778615598927,168.54313911149404,18645514600.0,0.7706218149102695,17.184817331266988,0.0,0.0,1.0,0.0
2023-03-24,21.739999771118164,45.0,0.209497,0.301676,0.488827,-0.27933,116312400.0,190.41000366210935,188.8560005187988,185.5766000366211,187.8573828321026,5.210006713867188,10.021620346897976,52.55481717079195,0.5620547130807285,0.4716816410583611,208.64087510170685,168.53312544760956,18529202200.0,0.6920413441189004,16.201282176785618,0.0,0.0,1.0,0.0
2023-03-27,20.600000381469727,45.0,0.209497,0.301676,0.488827,-0.27933,120851600.0,191.80999755859372,189.4715003967285,184.6166000366211,188.23382232986364,7.4499969482421875,9.837932961279709,53.49335623979458,0.677469474624548,0.5128392077715985,205.94002114572447,169.65197867117007,18650053800.0,0.7485608827520505,15.821926476294818,0.0,1.0,0.0,0.0
2023-03-28,19.96999931335449,45.0,0.209497,0.301676,0.488827,-0.27933,98654600.0,189.19000244140625,189.33550033569333,183.8814001464844,188.3248871023915,6.920013427734375,9.62951013745504,51.44247228817779,0.6490155086919192,0.5400744679556626,203.1774893799852,170.7625100096633,18551399200.0,0.6250550868146543,14.918908069583493,0.0,0.0,1.0,0.0
2023-03-29,19.1200008392334,45.0,0.209497,0.301676,0.488827,-0.27933,123660000.0,193.8800048828125,189.60800018310547,183.08820007324215,188.85394593862208,5.8499908447265625,9.377401616545864,54.78432660214186,0.8171555613027515,0.5954906866250804,201.40884633865613,171.64215311202747,18675059200.0,0.8224369453680157,14.402267253681163,0.0,1.0,0.0,0.0
2023-03-30,19.020000457763672,45.0,0.2251,0.3187,0.4561,-0.231,110252200.0,195.27999877929688,189.65149993896483,182.44799987792967,189.4659509710673,2.910003662109375,8.954015568809886,55.7630365695491,0.9973924988992078,0.6758710490799059,202.00304422739865,171.48595571156622,18785311400.0,0.8768975002644307,14.144151799339689,0.0,0.0,1.0,0.0
2023-03-31,18.700000762939453,45.0,0.2251,0.3187,0.4561,-0.231,170222100.0,207.4600067138672,189.99699935913085,181.9461996459961,191.1796705656197,10.589996337890623,9.208014064383176,63.22172514740252,1.632273803169526,0.86715159989783,204.35441125978048,170.1015900219578,18955533500.0,1.0,14.90197787439363,0.0,1.0,0.0,0.0
2023-04-03,18.549999237060547,48.0,0.2251,0.3187,0.4561,-0.231,169545900.0,194.7700042724609,190.04999923706052,181.17659942626952,191.52160710912835,10.490005493164062,9.640299471614735,53.16411937027812,1.5809209601330254,1.0099054719448692,204.48113252588388,170.07086942724112,18785987600.0,0.3963058813476471,14.941145400897955,0.0,1.0,0.0,0.0
2023-04-04,19.0,48.0,0.2251,0.3187,0.4561,-0.231,126463800.0,192.5800018310547,189.20049896240235,180.43319915771485,191.62240660645463,8.419998168945312,9.553135092852637,51.63739660489301,1.432000417723267,1.0943244611005487,204.8794602923381,170.1595411725056,18659523800.0,0.3046664221463381,14.735799447325585,0.0,1.0,0.0,0.0
2023-04-05,19.07999992370605,48.0,0.2251,0.3187,0.4561,-0.231,133882500.0,185.5200042724609,187.79249954223636,179.81939910888673,191.0412254317886,6.9199981689453125,9.5007688236645,46.95598186192432,1.0063545996569667,1.0767304888118323,204.89872480591444,170.4922770861754,18525641300.0,0.0236708641646801,13.750905415008004,0.0,1.0,0.0,0.0
2023-04-06,18.399999618530277,48.0,0.3333,0.3165,0.3502,-0.0169,123857900.0,185.05999755859372,186.4354995727539,179.3609991455078,190.4715846819605,6.649993896484375,9.297142043151636,46.65916128092819,0.6411961384383824,0.9896236187371424,204.1834075168148,172.42159431423988,18401783400.0,0.0,13.144151753209306,0.0,1.0,0.0,0.0
2023-04-10,18.96999931335449,48.0,0.3333,0.3165,0.3502,-0.0169,142154600.0,184.50999450683597,185.04249954223636,178.73219940185547,189.90381418909152,8.990005493164062,9.275203718152524,46.282453087248506,0.3237787249110502,0.856454639971924,203.33617993857368,174.37582109902397,18259628800.0,0.0,12.962359154052423,0.0,1.0,0.0,0.0
2023-04-11,19.100000381469727,48.0,0.3333,0.3165,0.3502,-0.0169,115770900.0,186.7899932861328,183.4854995727539,178.18639953613285,189.6072598173812,3.540008544921875,8.946975447896651,48.15124385261724,0.1665996840232608,0.7184836487821914,202.42063202998355,176.52236876347348,18375399700.0,0.1103229677599107,12.287621358917722,0.0,0.0,1.0,0.0
2023-04-12,19.09000015258789,48.0,0.3333,0.3165,0.3502,-0.0169,150256300.0,180.5399932861328,181.7134994506836,177.9093994140625,188.74371062392893,11.270004272460938,9.112906078222672,43.66663734179907,-0.2230335081743972,0.5301802173908737,202.5961122657006,176.0748884056861,18225143400.0,0.0,12.230393215636532,0.0,0.0,1.0,0.0
2023-04-13,17.799999237060547,48.0,0.2605,0.3946,0.3448,-0.0842999999999999,112933000.0,185.8999938964844,180.02899932861328,177.80719940185546,188.4728804594104,5.55999755859375,8.88769898076871,48.12849003672125,-0.2996960406949633,0.3642049657737063,202.34051411005564,176.8754862561553,18338076400.0,0.2281683794661179,12.177252796875427,0.0,0.0,0.0,1.0
2023-04-14,17.06999969482422,48.0,0.2605,0.3946,0.3448,-0.0842999999999999,96438700.0,185.0,178.48049926757812,177.95159942626952,188.14212993946657,4.2700042724609375,8.557863644461012,47.44891834852556,-0.3948032915144117,0.2124033143160827,202.31461127151,176.98838860641965,18241637700.0,0.1934167232756014,12.127908122311544,0.0,0.0,0.0,1.0
2023-04-17,16.950000762939453,48.0,0.2605,0.3946,0.3448,-0.0842999999999999,116662200.0,187.0399932861328,176.1989990234375,178.26019927978516,188.03716454391096,7.0,8.446587669856655,49.19986051993765,-0.3781392222821367,0.0942948069964388,201.9598221448192,178.0341765734425,18358299900.0,0.2829556805443264,11.589849120635836,0.0,0.0,1.0,0.0
2023-04-18,16.829999923706055,48.0,0.2605,0.3946,0.3448,-0.0842999999999999,92067000.0,184.30999755859372,174.47599868774415,178.4859994506836,187.68219625959503,4.1100006103515625,8.136831451320578,46.94560572076931,-0.4771812054558899,-0.0200003954940268,201.90166118292208,178.198337291199,18266232900.0,0.1676785300872268,11.090222904794109,0.0,1.0,0.0,0.0
2023-04-19,16.459999084472656,48.0,0.2605,0.3946,0.3448,-0.0842999999999999,125732700.0,180.58999633789065,172.87749862670898,178.47879943847656,187.00674864800416,5.850006103515625,8.031343752091207,43.98800721986284,-0.708982926657642,-0.1577969017267499,201.2060573071756,177.19494061762913,18140500200.0,0.0164340800337231,11.381673085821769,0.0,0.0,1.0,0.0
2023-04-20,17.170000076293945,48.0,0.272152,0.376582,0.351266,-0.079114,210970800.0,162.99000549316406,171.66149826049804,178.55919952392577,184.71943977611463,9.139999389648436,8.888390539748755,33.29914654848145,-1.6472428650804116,-0.4556860943974822,204.31041312663305,171.27458595783963,17929529400.0,0.0,13.20329268949893,0.0,0.0,1.0,0.0
2023-04-21,16.770000457763672,48.0,0.272152,0.376582,0.351266,-0.079114,123539000.0,165.0800018310547,170.91149826049804,178.73999938964843,182.84901711468035,4.67999267578125,8.587790692322505,35.30942360385865,-2.2868473359217267,-0.8219183427023311,205.53331698067825,167.3376821648296,18053068400.0,0.1011970705125474,14.894796607199153,0.0,0.0,1.0,0.0
2023-04-24,16.889999389648438,48.0,0.272152,0.376582,0.351266,-0.079114,140006600.0,162.5500030517578,170.2754981994629,179.16059936523436,180.9157776801163,7.0399932861328125,8.477233734737528,33.97455720835325,-2.8858991297563086,-1.2347145001131268,206.67370121172223,163.4112978727504,17913061800.0,0.0368307040090584,16.668162435438127,0.0,0.0,1.0,0.0
2023-04-25,18.76000022888184,48.0,0.272152,0.376582,0.351266,-0.079114,121999300.0,160.6699981689453,169.39349822998048,179.57419921875,178.9876082028619,4.720001220703125,8.20885998373507,32.9769022221385,-3.419143725282925,-1.6716003451470864,207.31522573156724,159.65577341394055,17791062500.0,0.0,18.314859275945743,1.0,0.0,0.0,0.0
2023-04-26,18.84000015258789,48.0,0.272152,0.376582,0.351266,-0.079114,153364100.0,153.75,168.79349822998046,179.77299926757811,176.584026469256,7.529998779296875,8.16036989770377,29.538570798610845,-4.129004352285026,-2.163081146574674,208.65097571417425,154.77602318719298,17637698400.0,0.0,20.263392183001795,0.0,0.0,1.0,0.0
2023-04-27,17.030000686645508,48.0,0.241379,0.373563,0.385057,-0.1436779999999999,127015200.0,160.19000244140625,168.10249862670898,180.2293994140625,175.02269084755602,8.11000061035156,8.156772091464328,36.204944217746856,-4.354148175708083,-2.601294552401356,207.90954592685577,152.1484527303708,17764713600.0,0.3390608405462296,22.1279110058229,0.0,1.0,0.0,0.0
